序号,机型与配置,开机靓机好,开机好碎,开机碎屏,开机压屏机,不开机,废板·断板,统货,备注
3,红米5a,40,40,40,40,40,40,/
4,红米5p,95,95,95,95,95,95,/
5,红米5,30,30,30,30,30,30,/
6,红米4 (3+32),33,33,33,33,33,33,/
1,红米4 (2+16),33,33,33,33,33,33,/
2,红米4a,35,35,35,35,35,35,/
3,红米4x,40,40,40,40,40,40,/
4,红米3S,35,35,35,35,35,35,/
5,红米3x,35,35,35,35,35,35,/
6,红米3,28,28,28,28,28,28,/
1,红米S2,80,80,80,80,80,80,/
2,红米2 16g,20,20,20,20,20,20,/
3,红米2 8G,20,20,20,20,20,20,/
4,红米1,13,13,13,13,13,13,/
5,红米Pro,45,45,45,45,45,45,/

序号,机型,开机靓好,开机碎屏,备注
1,小爱同学全屏,30,10,老化算异屏
2,小爱同学按键,15,7,按键坏算异屏
